,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
796,CHI82IA117,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,108.0
901,FTW82DA139,Non-Fatal,Substantial,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,68.0
1834,NYC82IA137,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,74.0
2132,NYC82IA170,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,129.0
3335,FTW83IA044,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,23.0
3423,MIA83IA043,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,21.0
3557,FTW83IA086,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,58.0
4150,LAX83IA149A,Incident,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,588.0
6760,CHI84IA041,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,100.0
20200,DCA88IA056,Incident,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,258.0
28159,NYC91IA137,Incident,Minor,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,156.0
41773,DCA97WA047A,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,573.0
42415,DCA97MA058,Fatal(228),Destroyed,Airplane,Boeing,747,No,Turbo Fan,228.0,26.0,0.0,0.0
52199,DCA02RA024,Incident,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,0.0
59362,DCA05MA095,Non-Fatal,Substantial,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,2.0,338.0
65785,CEN09LA114,Non-Fatal,Substantial,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,3.0
67763,DCA10CA032,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,25.0,1.0,236.0
68104,DCA10WA055,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Jet,0.0,0.0,0.0,3.0
68118,DCA10WA056,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,246.0
68169,DCA10CA061,Non-Fatal,Substantial,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,3.0
71033,ENG12IA003,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Jet,0.0,0.0,0.0,394.0
71944,DCA12CA082,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,24.0
73356,ENG13IA016,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,3.0
73577,DCA13WA080,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,146.0
73614,DCA13MA081,Fatal,Destroyed,Airplane,Boeing,747,No,Turbo Jet,7.0,0.0,0.0,0.0
73729,ENG13IA027,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,3.0
77825,ENG16IA001,Non-Fatal,Minor,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,367.0
81117,ENG17WA034,Non-Fatal,Substantial,Airplane,Boeing,747,No,Turbo Fan,0.0,0.0,0.0,6.0
83654,DCA19LA070,Non-Fatal,Substantial,Airplane,Boeing,727,No,Turbo Fan,0.0,0.0,0.0,4.0
